YMD,HHNN,STN,ID,LAT,LON,TMPF,SUSMPH,GUSTMPH,PKWNDMPH,MAXMPH,DWPF,'RAWOB'
20180104,1500,CAHR,HARRINGTON_CDA_CS,46.35,-63.17,32,15,21,23,23,29,'CAHR 041500Z AUTO 11013G18KT M00/M02 RMK AO1 PRESFR SOG 06 8063 PK WND 12020/1436 SLP164 T10011015 50002'
20180104,1500,CTCK,MOOSE_CREEK,45.25,-74.97,13,7,,,,11,'CTCK 041500Z AUTO 06006KT M10/M12 RMK AO1 SOG 28 5013 SLP111 T11031117'
20180104,1500,CWAF,ILE_ROUGE(MAPS),48.08,-69.55,17,13,18,,18,13,'CWAF 041500Z AUTO 05011G16KT M08/M10 RMK AO1 T10821103'
20180104,1500,CWAJ,ERIEAU_(MAPS),42.25,-81.90,,,,,,-9999,'CWAJ 041500Z AUTO RMK AO1'
20180104,1500,CWBA,BARRAGE_TEMISCAMINGUE,46.71,-79.10,-8,14,20,24,24,-12,'CWBA 041500Z AUTO 35012G17KT M22/M25 RMK AO1 SOG 25 PK WND 31021/1416 T12221246'
20180104,1500,CWBE,KILLARNEY_(MAPS),45.97,-81.48,-10,12,,22,22,-21,'CWBE 041500Z AUTO 36010KT M24/M29 RMK AO1 PK WND 01019/1434 SLP229 T12351293 50009'
20180104,1500,CWBS,LAC_ST_PIERRE,46.18,-72.92,16,15,,,,13,'CWBS 041500Z AUTO 02013KT M09/M11 RMK AO1 T10891106'
20180104,1500,CWBT,LONGUE_PT_DE_MONGUE,50.27,-64.23,15,6,,,,14,'CWBT 041500Z AUTO 06005KT M09/M10 RMK AO1 8019 SLP229 T10921102 50010'
20180104,1500,CWBY,PORT_MENIER_(MARS),49.83,-64.30,20,9,,,,19,'CWBY 041500Z AUTO 08008KT M06/M07 RMK AO1 2PAST HR SOG 22 8023 SLP208 P0001 T10641074 50004'
20180104,1500,CWBZ,ST_ANICET,45.12,-74.28,13,5,,,,10,'CWBZ 041500Z AUTO 04004KT M11/M12 RMK AO1 SLP109 T11051122 58019'
20180104,1500,CWCJ,PUKASKWA_PARK,48.60,-86.30,-22,5,,,,-28,'CWCJ 041500Z AUTO 05004KT M30/M34 RMK AO1 SOG 22 3007 SLP312 T13001336'
20180104,1500,CWCO,COLLINGWOOD_(AUT8),44.50,-80.22,8,18,26,29,29,5,'CWCO 041500Z AUTO 32016G23KT M13/M15 RMK AO1 PK WND 34025/1420 SLP155 T11321150 50002'
20180104,1500,CWDQ,LA_TUQUE,47.42,-72.80,11,6,,,,8,'CWDQ 041500Z AUTO 34005KT M12/M13 RMK AO1 SOG 35 6016 SLP140 T11191133'
20180104,1500,CWDT,CHUTE_DES_PASSES,49.83,-71.16,4,5,,,,-2,'CWDT 041500Z AUTO 10004KT M16/M19 RMK AO1 SLP173 T11581189 58010'
20180104,1500,CWDV,UPSALA_(MARS),49.03,-90.47,-30,2,,,,-36,'CWDV 041500Z AUTO 31002KT M34/M38 RMK AO1 SOG 21 2007 SLP334 T13431375'
20180104,1500,CWEP,EAST_POINT_(MARS),46.45,-61.97,34,21,28,28,28,30,'CWEP 041500Z AUTO 11018G24KT 01/M01 RMK AO1 PRESFR SOG 05 8056 PK WND 10024/1431 SLP186 T00111013'
20180104,1500,CWER,ILE_D'ORLEANS(AUT),47.00,-70.82,,21,28,30,30,-9999,'CWER 041500Z AUTO 05018G24KT RMK AO1 PK WND 04026/1427'
20180104,1500,CWEW,L'ASSOMPTION,45.82,-73.43,13,8,,,,9,'CWEW 041500Z AUTO 01007KT M10/M13 RMK AO1 SOG 21 8026 SLP120 T11041130'
20180104,1500,CWFQ,FRELIGHSBURG,45.05,-72.83,17,3,,,,3,'CWFQ 041500Z AUTO 02003KT M08/M16 RMK AO1 SOG 19 6032 SLP086 T10821159'
20180104,1500,CWGD,GODERICH_(AUTO8),43.77,-81.72,11,16,,22,22,6,'CWGD 041500Z AUTO 36014KT M12/M14 RMK AO1 2PAST HR SOG 07 0004 PK WND 35019/1440 SLP165 P0001 T11181144 50002'
20180104,1500,CWGL,LAGOON_CITY,44.53,-79.22,1,15,,23,23,-3,'CWGL 041500Z AUTO 33013KT M17/M20 RMK AO1 PK WND 32020/1421 SLP126 T11721195 58005'
20180104,1500,CWGR,ILES-DE-LA-MADELEINE,47.43,-61.76,31,20,26,28,28,26,'CWGR 041500Z AUTO 11017G23KT M01/M03 RMK AO1 PRESFR 8044 PK WND 11024/1400 SLP210 T10071031 50004'
20180104,1500,CWHP,HEATH_POINT_(MAPS),49.08,-61.70,30,25,,30,30,24,'CWHP 041500Z AUTO 15022KT M01/M04 RMK AO1 PK WND 15026/1454 SLP236 T10111043 58030'
20180104,1500,CWHQ,DESCHAMBAULT,46.68,-71.96,16,5,,,,13,'CWHQ 041500Z AUTO 05004KT M09/M11 RMK AO1 T10871106'
20180104,1500,CWHV,BEAUCEVILLE,46.20,-70.78,7,1,,,,4,'CWHV 041500Z AUTO 05001KT M14/M16 RMK AO1 SLP114 T11381156 56037'
20180104,1500,CWIG,ILE_AUX_GRUES,47.07,-70.53,,17,,23,23,-9999,'CWIG 041500Z AUTO 03015KT RMK AO1 PK WND 02020/1440'
20180104,1500,CWIP,POINTE_NOIRE,50.17,-66.43,18,12,17,,17,-9999,'CWIP 041500Z AUTO 05010G15KT M08/ RMK AO1 T1084'
