YMD,HHNN,STN,ID,LAT,LON,TMPF,SUSMPH,GUSTMPH,PKWNDMPH,MAXMPH,DWPF,'RAWOB'
20180104,1700,CAHR,HARRINGTON_CDA_CS,46.35,-63.17,32,17,25,30,30,30,'CAHR 041700Z AUTO 10015G22KT M00/M01 RMK AO1 PRESFR SOG 06 8081 PK WND 10026/1607 SLP108 T10011012 50002'
20180104,1700,CTCK,MOOSE_CREEK,45.25,-74.97,15,3,,,,12,'CTCK 041700Z AUTO 33003KT M10/M11 RMK AO1 SOG 28 8014 SLP092 T10961112'
20180104,1700,CWAF,ILE_ROUGE(MAPS),48.08,-69.55,19,18,24,24,24,16,'CWAF 041700Z AUTO 03016G21KT M07/M09 RMK AO1 PK WND 03021/1650 T10731088'
20180104,1700,CWAJ,ERIEAU_(MAPS),42.25,-81.90,,,,,,-9999,'CWAJ 041700Z AUTO RMK AO1'
20180104,1700,CWBA,BARRAGE_TEMISCAMINGUE,46.71,-79.10,-6,15,24,24,24,-12,'CWBA 041700Z AUTO 35013G21KT M21/M25 RMK AO1 SOG 25 PK WND 35021/1650 T12131246'
20180104,1700,CWBE,KILLARNEY_(MAPS),45.97,-81.48,-6,13,21,23,23,-18,'CWBE 041700Z AUTO 36011G18KT M21/M28 RMK AO1 PK WND 00020/1640 SLP221 T12111280 58009'
20180104,1700,CWBS,LAC_ST_PIERRE,46.18,-72.92,18,15,,,,14,'CWBS 041700Z AUTO 02013KT M08/M10 RMK AO1 T10781098'
20180104,1700,CWBT,LONGUE_PT_DE_MONGUE,50.27,-64.23,20,8,,,,19,'CWBT 041700Z AUTO 06007KT M07/M07 RMK AO1 PRESFR 8051 SLP189 T10671074 50024'
20180104,1700,CWBY,PORT_MENIER_(MARS),49.83,-64.30,24,8,,,,23,'CWBY 041700Z AUTO 08007KT M04/M05 RMK AO1 SOG 22 8047 SLP174 T10431052 50004'
20180104,1700,CWBZ,ST_ANICET,45.12,-74.28,17,5,,,,10,'CWBZ 041700Z AUTO 03004KT M09/M12 RMK AO1 SLP090 T10851122 58024'
20180104,1700,CWCJ,PUKASKWA_PARK,48.60,-86.30,-14,6,,,,-23,'CWCJ 041700Z AUTO 04005KT M25/M30 RMK AO1 2PAST HR SOG 22 8009 SLP299 P0001 T12541304 50002'
20180104,1700,CWCO,COLLINGWOOD_(AUT8),44.50,-80.22,9,22,30,31,31,6,'CWCO 041700Z AUTO 32019G26KT M13/M15 RMK AO1 6PAST HR 6011 PK WND 33027/1617 SLP150 P0002 T11281146 50009'
20180104,1700,CWDQ,LA_TUQUE,47.42,-72.80,15,5,,,,10,'CWDQ 041700Z AUTO 36004KT M10/M12 RMK AO1 SOG 35 8031 SLP115 T10951121 50010'
20180104,1700,CWDT,CHUTE_DES_PASSES,49.83,-71.16,6,2,,,,0,'CWDT 041700Z AUTO 07002KT M15/M18 RMK AO1 SLP160 T11471177 56020'
20180104,1700,CWDV,UPSALA_(MARS),49.03,-90.47,-15,3,,,,-22,'CWDV 041700Z AUTO 30003KT M26/M30 RMK AO1 SOG 21 0005 SLP329 T12611300 50007'
20180104,1700,CWEP,EAST_POINT_(MARS),46.45,-61.97,34,22,,33,33,31,'CWEP 041700Z AUTO 10019KT 01/M01 RMK AO1 PRESFR SOG 05 8071 PK WND 10029/1616 SLP139 T00111008'
20180104,1700,CWER,ILE_D'ORLEANS(AUT),47.00,-70.82,,25,32,32,32,-9999,'CWER 041700Z AUTO 06022G28KT RMK AO1 PK WND 06028/1655'
20180104,1700,CWEW,L'ASSOMPTION,45.82,-73.43,17,8,,,,11,'CWEW 041700Z AUTO 01007KT M08/M12 RMK AO1 SOG 21 8031 SLP096 T10841117'
20180104,1700,CWFQ,FRELIGHSBURG,45.05,-72.83,14,6,,,,11,'CWFQ 041700Z AUTO 32005KT M10/M12 RMK AO1 SOG 19 8040 SLP056 T10991115'
20180104,1700,CWGD,GODERICH_(AUTO8),43.77,-81.72,9,15,23,23,23,5,'CWGD 041700Z AUTO 36013G20KT M13/M15 RMK AO1 SOG 07 6002 PK WND 02020/1656 SLP164 T11261150 50002'
20180104,1700,CWGL,LAGOON_CITY,44.53,-79.22,2,13,,,,-6,'CWGL 041700Z AUTO 31011KT M17/M21 RMK AO1 SLP133 T11691209 56004'
20180104,1700,CWGR,ILES-DE-LA-MADELEINE,47.43,-61.76,32,25,32,33,33,28,'CWGR 041700Z AUTO 10022G28KT 00/M02 RMK AO1 PRESFR 6077 PK WND 11029/1600 SLP161 T00001021 50006'
20180104,1700,CWHP,HEATH_POINT_(MAPS),49.08,-61.70,30,25,31,31,31,26,'CWHP 041700Z AUTO 14022G27KT M01/M04 RMK AO1 PK WND 15027/1654 SLP202 T10121035 58049'
20180104,1700,CWHQ,DESCHAMBAULT,46.68,-71.96,18,3,,,,13,'CWHQ 041700Z AUTO 06003KT M08/M10 RMK AO1 T10771103'
20180104,1700,CWHV,BEAUCEVILLE,46.20,-70.78,10,1,,,,7,'CWHV 041700Z AUTO 13001KT M12/M14 RMK AO1 SLP077 T11201139 58044'
20180104,1700,CWIG,ILE_AUX_GRUES,47.07,-70.53,,18,24,25,25,-9999,'CWIG 041700Z AUTO 04016G21KT RMK AO1 PK WND 04022/1648'
20180104,1700,CWIP,POINTE_NOIRE,50.17,-66.43,18,6,,,,-9999,'CWIP 041700Z AUTO 04005KT M08/ RMK AO1 T1078'
20180104,1700,CWIS,CHARLEVOIX_(MRX),47.28,-70.63,9,10,32,48,48,7,'CWIS 041700Z AUTO 02009G28KT M13/M14 RMK AO1 SOG 56 8040 PK WND 03042/1606 SLP089 T11291137'
20180104,1700,CWIT,ST._CLOTHILDE_(AUT),45.17,-73.68,15,6,,,,10,'CWIT 041700Z AUTO 34005KT M09/M12 RMK AO1 SOG 22 8031 SLP074 T10921124 50008'
20180104,1700,CWIX,MISTOOK_(AUT),48.60,-71.71,3,7,,,,-2,'CWIX 041700Z AUTO 26006KT M16/M19 RMK AO1 SLP135 T11611190 58019'
20180104,1700,CWIZ,L'ACADIE,45.30,-73.35,14,5,,,,7,'CWIZ 041700Z AUTO 02004KT M10/M14 RMK AO1 SOG 25 T11001138'
20180104,1700,CWJB,STE_FOY_CS,46.78,-71.28,18,10,,23,23,-9999,'CWJB 041700Z AUTO 05009KT M08/ RMK AO1 SOG 11 PK WND 05020/1621 T1078'
20180104,1700,CWJO,JONQUIERE(AUTO),48.41,-71.15,14,6,,,,7,'CWJO 041700Z AUTO 12005KT M10/M14 RMK AO1 SLP137 T10991137 58030'
20180104,1700,CWJT,ST_JOVITE_(AUTO8),46.07,-74.53,18,1,,,,13,'CWJT 041700Z AUTO 02001KT M08/M10 RMK AO1 SLP098 T10801103 58021'
20180104,1700,CWKG,KEJIMKUJIK_1,44.43,-65.20,37,15,28,33,33,36,'CWKG 041700Z AUTO 10013G24KT 03/02 RMK AO1 9PAST HR PRESFR SOG 05 8149 PK WND 10029/1635 SLP959 P0019 T00290022 50083'
20180104,1700,CWLS,MOUNT_FOREST,43.98,-80.75,3,10,,20,20,-3,'CWLS 041700Z AUTO 33009KT M16/M20 RMK AO1 SOG 24 6011 PK WND 32017/1626 SLP148 T11631197'
20180104,1700,CWMJ,MANIWAKI,46.28,-76.00,15,5,,,,11,'CWMJ 041700Z AUTO 34004KT M10/M12 RMK AO1 SOG 24 6007 SLP109 T10971115'
20180104,1700,CWNC,COBOURG_(MARS),43.95,-78.17,13,7,,,,4,'CWNC 041700Z AUTO 34006KT M11/M16 RMK AO1 SOG 02 0003 SLP104 T11051157'
20180104,1700,CWNE,NORTH_CAPE,47.05,-64.00,,23,29,29,29,-9999,'CWNE 041700Z AUTO 10020G25KT RMK AO1 PRESFR PK WND 10025/1641 57073'
20180104,1700,CWNH,RIVIERE_DU_LOUP,47.80,-69.55,14,6,,,,9,'CWNH 041700Z AUTO 03005KT M10/M13 RMK AO1 SOG 29 8038 SLP126 T11021128'
20180104,1700,CWNQ,NICOLET_(AUTO8),46.22,-72.65,18,7,,,,14,'CWNQ 041700Z AUTO 04006KT M08/M10 RMK AO1 SLP084 T10771100 58036'
20180104,1700,CWNZ,NAGAGAMI_(MARS),49.75,-84.16,-20,3,,,,-27,'CWNZ 041700Z AUTO 32003KT M29/M33 RMK AO1 SOG 30 8003 SLP303 T12891329'
20180104,1700,CWOC,NEW_CARLISLE1,48.02,-65.33,26,6,,,,24,'CWOC 041700Z AUTO 06005KT M03/M04 RMK AO1 PRESFR 8055 SLP143 T10331043 50010'
20180104,1700,CWOD,NORMANDIN,48.83,-72.55,5,5,,,,1,'CWOD 041700Z AUTO 32004KT M15/M18 RMK AO1 SOG 18 8019 SLP130 T11481175'
20180104,1700,CWPD,L'ETAPE,47.56,-71.23,10,3,,,,5,'CWPD 041700Z AUTO 02003KT M12/M15 RMK AO1 SLP098 T11231150 58033'
20180104,1700,CWPE,POINT_LEPREAU,45.06,-66.45,33,16,31,,31,31,'CWPE 041700Z AUTO 05014G27KT 01/M00 RMK AO1 27 PRESFR SOG 05 8121 SLP996 T00061004'
20180104,1700,CWPK,PARENT_(MARS),47.92,-74.62,11,3,,,,8,'CWPK 041700Z AUTO 02003KT M11/M14 RMK AO1 SOG 38 7012 SLP116 T11141135 50008'
20180104,1700,CWQH,LENNOXVILLE,45.37,-71.82,14,3,,,,11,'CWQH 041700Z AUTO 35003KT M10/M12 RMK AO1 SOG 23 T10981117'
20180104,1700,CWQO,ILE_BICQUETTE,48.41,-68.90,18,8,,,,13,'CWQO 041700Z AUTO 06007KT M08/M10 RMK AO1 T10761104'
20180104,1700,CWQP,POINT_PETRE_(MARS),43.83,-77.15,18,9,,,,12,'CWQP 041700Z AUTO 34008KT M08/M11 RMK AO1 SOG 19 8015 SLP089 T10781110 50006'
20180104,1700,CWQR,ICE_AUX_PERROQUETS,50.22,-64.22,21,23,,30,30,-9999,'CWQR 041700Z AUTO 07020KT M06/ RMK AO1 PK WND 05026/1601 T1056'
20180104,1700,CWRK,BANCROFT_AUTO8,45.07,-77.87,8,7,,,,1,'CWRK 041700Z AUTO 35006KT M14/M18 RMK AO1 SOG 29 0002 SLP112 T11361175'
20180104,1700,CWRN,HART_ISLAND_(MAPS),45.35,-60.98,36,26,36,36,36,34,'CWRN 041700Z AUTO 09023G31KT 02/01 RMK AO1 PRESFR PK WND 08031/1626 SLP125 T00210011 58089'
20180104,1700,CWRZ,CAP_D'ESPOIR_(MAPS),48.42,-64.32,26,8,,,,25,'CWRZ 041700Z AUTO 04007KT M03/M04 RMK AO1 SLP160 T10331037 58046'
20180104,1700,CWSA,SABLE_ISLAND,43.93,-60.01,43,37,43,,43,39,'CWSA 041700Z AUTO 10030G43KT 2SM -RA BR SCT020 BKN024 OVC031 06/04 A2975 RMK PRESFR PCPN 0.5MM PAST HR TS/LTNG TEMPO UNAVBL SLP077'
20180104,1700,CWSD,SUMMERSIDE_(AUTO8),46.43,-63.83,33,18,24,24,24,31,'CWSD 041700Z AUTO 10016G21KT 01/M01 RMK AO1 PRESFR SOG 03 6080 PK WND 10021/1637 SLP103 T00081006'
20180104,1700,CWSF,CAP_MADELEINE(MAPS),49.25,-65.33,24,10,,,,20,'CWSF 041700Z AUTO 12009KT M05/M07 RMK AO1 PRESFR SOG 14 8056 SLP156 T10461069'
20180104,1700,CWSG,CAP_CHAT_(MAPS),49.11,-66.65,22,10,,,,19,'CWSG 041700Z AUTO 07009KT M06/M08 RMK AO1 0PAST HR 8050 SLP150 P0012 T10571075 50030'
20180104,1700,CWSS,ST._STEPHEN_(MARS),45.20,-67.25,27,13,23,23,23,25,'CWSS 041700Z AUTO 03011G20KT M03/M04 RMK AO1 6PAST HR PRESFR SOG 09 8112 PK WND 02020/1656 SLP003 P0006 T10281037 50018'
20180104,1700,CWST,LA_POCATIERE,47.35,-70.03,15,12,,,,10,'CWST 041700Z AUTO 04010KT M09/M12 RMK AO1 PRESFR SOG 05 8048 SLP108 T10921124'
20180104,1700,CWTA,MC_TAVISH_(AUT),45.50,-73.58,15,7,,,,10,'CWTA 041700Z AUTO 01006KT M09/M12 RMK AO1 SOG 40 8032 SLP085 T10941124'
20180104,1700,CWTG,POINTE_DES_MONTS,49.32,-67.38,17,9,,,,13,'CWTG 041700Z AUTO 03008KT M08/M11 RMK AO1 SLP157 T10841106 58046'
20180104,1700,CWTN,CAP_TOURMENTE,47.07,-70.80,20,8,,,,12,'CWTN 041700Z AUTO 13007KT M07/M11 RMK AO1 PRESFR SLP105 T10681111 58046'
20180104,1700,CWTY,TROIS_RIVIERES,46.35,-72.52,17,9,,,,16,'CWTY 041700Z AUTO 02008KT M08/M09 RMK AO1 SLP090 T10821091 58036'
20180104,1700,CWUX,LA_BAIE,48.30,-70.91,13,5,,,,7,'CWUX 041700Z AUTO 06004KT M11/M14 RMK AO1 SLP127 T11061141 57029'
